Customer ID*,Customer Name*,Street,Housenumber,City,ZIP,Existing customer,Number of employees,Revenue,URL,e-mail,mobile,Telefone,Heading*,Heading ID*,Keyword (1 main keyword),Year/month founded (entrepreneur),Short Crypted
95,bauplan encofco GesmbH,Gusenleithnerg,5,Wien,1140,,,,http://www.bauplan-IT.com/HOB,HOB@bauplan-IT.com,06643015533,,Planungen u -büros,2775,Planungsbüros,,RX9tC
100,Energie Burgenland AG,Kasernenstr,9,Eisenstadt,7000,,570,175000000,http://www.energieburgenland.at,info@energieburgenland.at,,08008889000,Elektrizitätswerke u -gesellschaften,969,Stadtwerke,,WBQNV
110,Toyota Buchreiter,Eisbachstr,11,Eisenstadt,7000,,,4500000,http://www.toyota-buchreiter.at,office@toyota-buchreiter.at,,0268262575,Autoreparatur,276,Werkstatt,,gRwN7
113,Regionalmanagement Burgenland GesmbH,Marktstr,3,Eisenstadt,7000,,42,3711679.56,http://www.rmb.co.at,office@rmb.co.at,,059010,Unternehmensberatung,4058,Consulting,,jdt5J
114,Burgenländische Landwirtschaftskammer,Esterhazystr,15,Eisenstadt,7000,,111,8000000,http://www.lk-bgld.at,office@lk-bgld.at,,02682702,Kammern,1849,Kammer,,kMWzM
117,Burgenländischer Blasmusikverband,Glorietteallee,2,Eisenstadt,7000,,,,http://www.blasmusik-burgenland.at,office@blasmusik-burgenland.at,,0268265181,Musikgruppen,2549,Musikanten,,mXTgX
118,Golfplatz Bad Waltersdorf,Nr.,348,Bad Waltersdorf,8271,,1,300000,http://www.golf-badwaltersdorf.at,badwaltersdorf@golf.at,,0333324000,Golfplätze,1496,Golfanlagen,,nH8Zc
123,Landesmuseum Burgenland,Museumg,1-5,Eisenstadt,7000,,,,http://www.burgenland.at/landesmuseum,landesmuseum@bgld.gv.at,,02682600,Museen / Ausstellungen,2544,Museum,,rvP4v
141,Eibel Bau GmbH,Lobäckerstr,65,Eisenstadt,7000,,21,750000,http://www.eibel-bau.at,office@eibel-bau.at,,0268262623,Bauunternehmen,392,Baufirma,,BRRkP
148,Generali Versicherung AG LdsDion Bgld,Esterhazystr,20-22,Eisenstadt,7000,,,,http://www.generali.at,office.bgld@generali.at,,0268263146,Versicherungsunternehmen,4106,Versicherung,,HX22q
154,Weingut Esterházy,Nr.,1,Trausdorf an der Wulka,7061,,15,1500000,http://www.esterhazywein.at,wein@esterhazy.at,,0268263348,Weingüter u -kellereien,4253,Wein,,MtvQC
161,Freiheitliche Partei Österreichs Landesgruppe Bgld - FPÖ,Ruster Str,70B,Eisenstadt,7000,,,,http://www.fpoe-bgld.at,,,0268262846,Politische Parteien,4647,Partei,,T1Sjd
163,Burgenland Tourismus,Johann-Permayer-Str,13,Eisenstadt,7000,,21,5900000,http://www.burgenland.info,info@burgenland.info,,0268263384,Tourismusinformation u -organisationen,4485,Tourismusbüro,,VRmVl
165,Modehaus Lörner,Hauptstr,14,Eisenstadt,7000,,2,150000,http://www.loerner.com,moden@loerner.com,,0268263232,Wäschewaren / Einzelhandel,4216,Wäschewareneinzelhandel,,Wv5Js
183,W. Haenlein - Gewußt wie,Hauptstr,38,Eisenstadt,7000,,6,950000,http://www.gewusstwie.at,haenlein@gewusstwie.at,,0268262466,Fotoapparate u -artikel / Einzelhandel,1250,Kamera,,p1nTz
194,Hengge H W KG,Hauptstr,27,Eisenstadt,7000,,2,160000,http://www.optik-hengge.at,optik.hengge@bkf.at,,0268262802,Optiker,2648,Augenoptiker,,2RHs3
200,Franz Hohensteiner,Hauptstr,2,Eisenstadt,7000,,3,290000,http://www.hohensteiner.at,info@hohensteiner.at,,0268264118,"Juwelen, Gold- u Silberwaren / Einzelhandel",1811,Juweliere,,6pCGP
213,HYPO-Bank Burgenland AG,Neusiedler Str,33,Eisenstadt,7000,,334,46892822.83,http://www.bank-bgld.at,info@bank-bgld.at,,02682605,Banken u Sparkassen,332,Banken,,JGfxC
215,INTERSPORT XL - Zink,Ruster Str,146,Eisenstadt,7000,,23,2000000,http://www.intersport.at,harald.zink@intersport-xl.at,,0268264155,Sportartikel u -geräte,3652,Sportartikel,,KjxlK
216,Isosport Verbundbauteile GesmbH,Industriestr,2-8,Eisenstadt,7000,,280,60000000,http://www.isosport.com,office@isosport.com,,02682703,Kunststoffwaren,2152,Kunststoffe,,LRcfN
222,Gasthof WIMMER,St. Georgen Brunneng,1,Eisenstadt,7000,,,,http://www.gasthof-wimmer.at,info@gasthof-wimmer.at,,0268262429,Gasthäuser u Gasthöfe,1352,Gasthaus,,QpW3l
224,WKO Bgld Regionalstelle Eisenstadt,Robert-Graf-Pl,1,Eisenstadt,7000,,100,13000000,http://wko.at/bgld,,,0590907,Kammern,1849,Kammer,,SGpqs
225,Kammer f Arbeiter u Angestellte f d Bgld,Wiener Str,7,Eisenstadt,7000,,83,8600000,http://www.akbgld.at,akbgld@akbgld.at,,02682740,Kammern,1849,Kammer,,T1Skw
227,Karlovits Steinmetzbetrieb,Mattersburger Str,44,Eisenstadt,7000,,10,725000,http://www.stein-karlovits.at,office@stein-karlovits.at,,0268264416,Grabsteine u Grabdenkmäler,1500,Grabstein,,VRmX4
230,Volkshochschule Eisenstadt,Pfarrg,10,Eisenstadt,7000,,,,http://www.vhs-burgenland.at,info@vhs-burgenland.at,,0268261363,Volkshochschulen,4149,VHS,,XdkFF
231,Kienzl Adalbert Dipl-Ing BaugesmbH & Co KG,Lobäckerstr,63,Eisenstadt,7000,,30,2300000,http://www.kienzl-bau.at,kienzl@kienzl-bau.at,,0268262237,Bauunternehmen,392,Baufirma,,ZMN8J
237,KLEE ihr Friseur,Josef-Reichl-G,12,Eisenstadt,7000,,13,350000,http://www.friseur-klee.at,creativ@friseur-klee.at,,0268262900,Friseure u Frisiersalons,1273,Friseur,,fkHWg
243,Koinegg Josef GesmbH & Co KG,Ruster Str,110,Eisenstadt,7000,,10,16000000,http://www.renault.at/handler/koinegg,,,0268265118,Autohandel,254,Kfz,,l6Bw3
248,Krankenhaus der Barmherzigen Brüder Eisenstadt,Johannes-von-Gott-Pl,1,Eisenstadt,7000,,970,,http://www.bbeisen.at,,,02682601,Krankenhäuser u Kliniken,2044,Krankenhaus,,pkRQL
249,Ralph Krasny,Industriestr,15-17,Eisenstadt,7000,,2,150000,http://www.krasny.co.at,office@krasny.co.at,,0268263893,Elektromotoren / Reparatur u Wicklerei,992,Elektromotorenreparaturen,,qS6KP
252,Kroatischer Kulturverein im Bgld - Hrvatsko kulturno drustvo u Gradiscu,Dr.-Lorenz-Karall-Str,23,Eisenstadt,7000,,,,http://www.hkd.at,ured@hkd.at,,0268266500,Kulturvereine,4644,Kultur,,sf42b
274,Maly Gartengestaltung,Buchgrabenweg,55,Eisenstadt,7000,,40,2500000,http://www.maly.cc,office@maly.cc,,0268261862,Garten- u Landschaftsgestaltung,1318,Gartengestaltung,,GpMBM
281,Haydn Hotel,Kalvarienbergpl,1,Eisenstadt,7000,,4,130000,http://www.haydnhotel.at,rezeption@haydnhotel.at,,0268262751,Hotels,1694,Hotel,,LRcgj
286,Meixner Waffen,Ruster Str,11,Eisenstadt,7000,,,,http://www.waffen.cc,info@waffen.cc,,0268262208,Waffen u Munition,4171,Waffen,,RX9z6
292,Fotostudio Millesich GesmbH,St. Georgen Dreifaltigkeitsstr,6,Eisenstadt,7000,,1,100000,http://www.millesich.at,fotostudio@millesich.at,,0268264310,Fotografen,1255,Fotograf,,Wv5MS
299,Optiker Franz Nechansky GesmbH,Beim Alten Stadttor,5,Eisenstadt,7000,,20,1300000,http://www.nechansky.at,buero@nechansky.at,,0268262136,Optiker,2648,Augenoptiker,,cXKrp
302,GRAPHISCHE WERKSTATT GmbH,Mattersburger Str,23,Eisenstadt,7000,,15,1600000,http://www.graphischewerkstatt.at,office@graphischewerkstatt.at,,0268262400,Druckereien,872,Druckerei,,hBbM5
308,OSG Oberwarter gemeinn Bau- Wohn- u Siedlungsgen regGenmbH,Bahnstr,45,Eisenstadt,7000,,,,http://www.osg.at,eisenstadt@osg.at,,0268262354,Genossenschaften,1385,Genossenschaft,,mXTlR
309,Hotel-Restaurant Fam Ohr GesmbH & Co KG,Ruster Str,51,Eisenstadt,7000,,12,900000,http://www.hotelohr.at,info@hotelohr.at,,0268262460,Hotels,1694,Hotel,,lpqrQ
315,Österreichischer Zivilschutzverband Landesverband Burgenland,Hartlsteig,2,Eisenstadt,7000,,5,,http://www.zivilschutzverband.at,bzsv@utanet.at,,0268263620,"Verbände, Vereine u Organisationen",4650,Vereine,,rBlFn
316,ÖRK Österr Rotes Kreuz Landesverband Bgld,Henri-Dunant-Str,4,Eisenstadt,7000,,180,11000000,http://www.b.roteskreuz.at,office@b.roteskreuz.at,,02682744,Rettungsdienste,2979,Rettung,,tMhww
342,"Rainprecht GmbH HONDA, FENDT, DEUTZ, ISEKI",Neusiedler Str,59,Eisenstadt,7000,,11,3500000,http://www.auto-rainprecht.at,office@auto-rainprecht.at,,0268262620,Autohandel,254,Kfz,,Kjxnv
348,Reifen Ritz GesmbH,Ruster Str,134,Eisenstadt,7000,,103,19000000,http://www.reifen-ritz.at,eisenstadt@reifen-ritz.at,,0268262235,Reifen u Reifendienste,2920,Reifen,,Q5sCH
352,Bestattung Klaus Wedl,Wiener Str,8,Eisenstadt,7000,,4,,http://www.bestattung-eisenstadt.at,wedl@direkt.at,,0268262677,Bestattungsunternehmen,447,Bestatter,,T1SnW
358,Rötzer Druck GesmbH,Joseph-Haydn-G,32,Eisenstadt,7000,,15,1000000,http://www.roetzerdruck.at,office@roetzerdruck.at,,0268262494,Druckereien,872,Druckerei,,ZMNBt
378,Fahrschule Schopper Klaus,Johann-Permayer-Str,1,Eisenstadt,7000,,,,http://www.fahrschule-schopper.at,office@fahrschule-schopper.at,,0268262706,Fahrschulen,1067,Fahrschule,,rvPB7
406,Steiner Wilhelm Cafe-Konditorei,Josef-Stanislaus-Albach-G,2,Eisenstadt,7000,,,,http://www.konditorei-steiner.eu,w.steiner1@aon.at,,0268263408,Kaffeekonditoreien,1832,Konditorei,,KjxqD
410,Szirmay Nora Tanzschule,,,Eisenstadt,7000,,,,http://www.tanzschule-nora.at,tanzschule-nora@aon.at,06643380266,,Tanzschulen,3820,Tanzschule,,NdZQS
416,Thurner Rudolf GmbH,Hauptstr,54,Eisenstadt,7000,,8,,http://www.thurner-wm.at,office.thurner@aon.at,,0268262126,Damenmoden,737,Kleidung,,T1Spq
426,UNIQA Versicherungen AG Landesdirektion Burgenland,Colmarpl,1,Eisenstadt,7000,,,,http://www.uniqa.at,Info@uniqa.at,,02682602,Versicherungsunternehmen,4106,Versicherung,,dGzpR
427,Tamburica Cindrof,,,Siegendorf,7011,,,,http://www.tamburica-cindrof.at,geschaeft@tamburica-cindrof.at,,,Musikgruppen,2549,Musikanten,,cXKvQ
436,VollkornBioBäckerei GmbH,Kleinhöfleiner Hauptstr,39,Kleinhöflein im Burgenland,7000,,,,http://www.vollkornbaeckerei-waldherr.at,office@vollkornbaeckerei-waldherr.at,,0268261008,Bäckereien,300,Bäckerei,,mXTp4
440,Kastner Abholmarkt u Gastrodienst GmbH,Industriestr,12,Eisenstadt,7000,,232,61000000,http://www.kastner.at,,,0268262661,Lebensmittel / Erzeugung u Großhandel,2216,Lebensmittelerzeugung,,qS6PJ
444,Allianz Elementar Versicherungs AG - Landesdirektion Burgenland,Ruster Str,8,Eisenstadt,7000,,,,http://www.allianz.at,,,0268263035,Versicherungsunternehmen,4106,Versicherung,,tMj1X
447,Wiesenthal & Ott GesmbH & Co KG,Mattersburger Str,19,Eisenstadt,7000,,39,3500000,http://www.wiesenthal.at,eisenstadt@wiesenthal.at,,0268264111,Autohandel,254,Kfz,,v6Ltf
448,Willnauer Fachmarkt,Mattersburger Straße Ost,11,Eisenstadt,7000,,5,,http://www.willnauer.co.at,leopold.willnauer@bkf.at,,,Baumärkte,360,Baumarkt,,1jf5B
449,WINDpool-Polyesterbau,Sankt Georgener Hauptstr,77,Eisenstadt,7000,,2,500000,http://www.windpool.at,wind@windpool.at,,0268265142,Polyester u -verarbeitung,2809,PET,,111B9
459,Zürich Versicherungs-AG - Landesdirektion f d Bgld u Kundenservicestelle,Sankt-Rochus-Str,30,Eisenstadt,7000,,,,http://www.zurich.at,eisenstadt@at.zurich.com,,02682707,Versicherungsunternehmen,4106,Versicherung,,8GV9m
461,Udo Boandl,Grazer Str,23,Eltendorf,7562,,5,1250000,http://www.boandl.at,nissan@boandl.at,,033252213,Autoreparatur,276,Werkstatt,,9jnxt
476,Uhudlerei Mirth,Kirchenstr,7,Eltendorf,7562,,8,400000,http://www.uhudlerei-mirth.at,office@uhudlerei-mirth.at,,033252216,Gasthäuser u Gasthöfe,1352,Gasthaus,,Q5sFt
499,Kukuruzstub'n Inh Annemarie Lehner,Hauptstr,46,Forchtenstein,7212,,,,http://www.kukuruzstubn.at,office@kukuruzstubn.at,,0262663128,Restaurants,2947,Restaurant,,kMX8D
501,Helmut Messner,Hauptstr,51,Forchtenstein,7212,,,,http://members.a1.net/messnerhelmut,,,0262663296,Friseure u Frisiersalons,1273,Friseur,,lpqwL
504,Pichler & Biringer KG - Zimmerei Holzbau u Holzhandel,Hauptstr,186,Forchtenstein,7212,,3,380000,http://www.holzbauprofi.at,office@holzbauprofi.at,,0262663149,Zimmereien,4400,Zimmerei,,qS6Qc
505,Josef Pichler,Hauptstr,160,Forchtenstein,7212,,3,300000,http://www.pichler-tischlerei.at,office@pichler-tischlerei.at,,0262663120,Tischlereien,3951,Tischler,,pkRWb
511,Gasthof Sauerzapf,Rosalienstr,39,Forchtenstein,7212,,,,"http://www.tiscover.at/at/guide/5,de,HERO/objectId,ACC449230at/home.html",,,0262681217,Gasthäuser u Gasthöfe,1352,Gasthaus,,v6Lvx
515,Josef Schreiner,Hauptstr,31,Forchtenstein,7212,,,,http://www.fleischerei-schreiner.at,fleischerei.schreiner@aon.at,,0262663123,Fleischhauereien,1205,Fleischerei,,1jf6X
517,Hubert Sedlatschek,Rosalia,28,Forchtenstein,7212,,15,8200000,http://www.sedi-fruits.at,office@sedi-fruits.at,,0262681267,Obst u Gemüse,2608,Gemüse,,65XTq
521,Schlosserei Strodl - Edelstahl & Metallbau,Hauptstr,30,Forchtenstein,7212,,6,550000,http://www.schlosserei-strodl.at,office@schlosserei-strodl.at,,0262663159,Schlossereien,3392,Schlosser,,91965
533,Wutzlhofer Walter GesmbH & Co KG,Hauptstr,13,Forchtenstein,7212,,16,3500000,http://www.wutzlhofer.at,office@wutzlhofer.at,,0262663104,Transportunternehmen,3995,Transport,,Kjxsp
549,Seewinkel Apotheke u Drogerie Mag. pharm. Karin Hild KG,Hauptstr,15-17,Frauenkirchen,7132,,11,2500000,http://www.seewinkel-apotheke.at,info@seewinkel-apotheke.at,,021722238,Apotheken,127,Apotheke,,ZMNGn
551,Hotel Weisz,Lagerg,1,Frauenkirchen,7132,,,,http://www.gasthof-weisz.at,office@gasthof-weisz.at,,021722102,Hotels,1694,Hotel,,Wv5Sl
557,Bruck Josef GmbH,Franziskanerstr,26,Frauenkirchen,7132,,17,15000000,http://www.getreide-bruck.at,office.frk@getreide-bruck.at,,021722268,Landwirtschaftliche Produkte,2195,Agrarmarkt,,hBbSH
570,Pizzeria Caribic,Franziskanerstr,61a,Frauenkirchen,7132,,3,150000,http://www.caribic-gastronomie.at,office@caribic-gastronomie.at,,0217243000,Pizzerias,2768,Pizzeria,,pkRXv
583,Horvath Schlosserei & Metallbau,Amtshausg,6,Frauenkirchen,7132,,5,280000,http://www.metallbau-horvath.at,metallbau-horvath@aon.at,,021722297,Schlossereien,3392,Schlosser,,4dFk6
590,Optik Kettner & Co KG,Hauptstr,13,Frauenkirchen,7132,,2,1300000,http://www.kettner-optik.at,office@kettner-optik.at,,021722553,Optiker,2648,Augenoptiker,,9jp2W
598,Emaritta Egermann,Apetloner Str,28,Illmitz,7142,,,,http://www.egermann.info,egermann@egermann.info,,021753293,Pensionen / Privatzimmer,2728,Pension,,HX2D2
599,Gasthaus Jagdhof,Obere Hauptstr,31,Illmitz,7142,,3,,http://www.jagdhof-fleischhacker.at,weingut@jagdhof-fleischhacker.at,,021752339,Gasthäuser u Gasthöfe,1352,Gasthaus,,JGg75
601,Pension-Weingut Storchenblick,Obere Hauptstr,7,Illmitz,7142,,,,http://www.storchenblick.at,office@storchenblick.at,,021752355,Pensionen / Privatzimmer,2728,Pension,,NdZVM
606,SCHIFFFAHRTSUNTERNEHMEN-BOOTSVERLEIH GANGL,,Seebad,Illmitz,7142,,,,http://www.schifffahrt-gangl.at,office@schifffahrt-gangl.at,,021752158,Schifffahrt,3361,Schiffahrt,,PMDPV
610,Hotel Post Illmitz - Mag. Otto Josef Egermann,Apetloner Str,2,Illmitz,7142,,7,450000,http://www.hotelpostillmitz.at,office@hotelpostillmitz.at,,021752321,Hotels,1694,Hotel,,SGq1l
615,Sodla Wirt - Inh Haider Johann u Maria,Obere Hauptstr,46,Illmitz,7142,,3,0,http://www.sodla-wirt.at,sodla-wirt@tmo.at,,021752326,Gasthäuser u Gasthöfe,1352,Gasthaus,,Wv5V4
618,Erlebnispension Illmitzerhof,Angerg,25,Illmitz,7142,,,,http://www.illmitzerhof.at,office@illmitzerhof.at,06767173736,,Pensionen / Privatzimmer,2728,Pension,,b63CF
622,Gasthof Zentral,Obere Hauptstr,1,Illmitz,7142,,,,http://www.zentral-illmitz.at,arkadenhof.kroiss@gmx.at,,021752312,Gasthäuser u Gasthöfe,1352,Gasthaus,,f1dnT
626,Kroiss Michael u Theresia - Frühstückspension Schrändlsee,Schellg,22,Illmitz,7142,,,,http://www.schraendlsee.at,kroiss@schraendlsee.at,,021752272,Pensionen / Privatzimmer,2728,Pension,,hvFNk
633,Restaurant Pußtahof,Seeg,46,Illmitz,7142,,4,145400,http://www.pusztahof.at,office@pusztahof.at,,021752320,Restaurants,2947,Restaurant,,rvPHK
634,Pension Burgenländerhof - Loos-Salzl,Untere Hauptstr,2,Illmitz,7142,,,,http://www.burgenlaenderhof.com,kontakt@burgenlaenderhof.com,,021752377,Pensionen / Privatzimmer,2728,Pension,,pkRbD
642,Steiner Alois GesmbH,Gewerbepark,1,Illmitz,7142,,115,12350000,http://www.spedsteiner.at,,,021752309,Transportunternehmen,3995,Transport,,111G6
647,Unger KG,Uferg,7,Illmitz,7142,,8,700000,http://www.fliesen-unger.at,office@fliesen-unger.at,,021752338,Fliesen- u Plattenverlegungen,1210,Fliesenleger,,4dFlP
658,Stadtapotheke Zum Salvator Mag. pharm. Dr. S. Mihellyes,Hauptpl,7,Jennersdorf,8380,,15,1850000,http://www.stadtapotheke-jennersdorf.at,service@stadtapotheke-jennersdorf.at,,0332945226,Apotheken,127,Apotheke,,DdPf5
664,Brückler GroßhandelsgesmbH,Industriegelände,6,Jennersdorf,8380,,80,24800000,http://www.kastner.at,office@kastner.at,,03329401,Lebensmittel / Erzeugung u Großhandel,2216,Lebensmittelerzeugung,,Mtvdc
666,Gasthof Burgenlandhof,Kirchenstr,4,Jennersdorf,8380,,5,425000,http://www.burgenlandhof.at,kontakt@burgenlandhof.at,,0332945341,Gasthäuser u Gasthöfe,1352,Gasthaus,,LRcqZ
683,Hütter OEG,Hauptstr,1,Jennersdorf,8380,,,,http://www.baeckerei-huetter.at,,,0332945303,Bäckereien,300,Bäckerei,,bph7c
686,WKO Bgld Regionalstelle Jennersdorf,Raxer Str,13a,Jennersdorf,8380,,,,http://www.wko.at/bgld,,,0590907,Kammern,1849,Kammer,,f1dpn
696,Diethard Mausser,Hauptstr,37,Jennersdorf,8380,,8,300000,http://www.friseur-mausser.at,friseur@friseur-mausser.at,,0332945249,Friseure u Frisiersalons,1273,Friseur,,rBlPZ
699,RED ZAC Meier,Hauptstr,17,Jennersdorf,8380,,,,http://www.meier.at,,,0332948902,Elektrogeräte / Einzelhandel,977,Elektrohandel,,qS6Vb
708,Neuherz Daniel Malerbetrieb,Neumarkter Str,4,Jennersdorf,8380,,,,http://www.farbe-neuherz.at,office@farbe-neuherz.at,,0332945515,"Maler, Anstreicher u Lackierer",2321,Maler,,5Ltgh
709,Spar-Markt Polanetz Peter,Hauptpl,10,Jennersdorf,8380,,4,600000,http://www.spar.at,office@spar.at,,0332945212,Lebensmittel / Einzelhandel,2218,Lebensmittel,,65XZl
711,Raffel Restaurant-Seminarhotel,Hauptpl,6,Jennersdorf,8380,,15,850000,http://www.raffel.at,seminarhotel@raffel.at,,0332946622,Hotels,1694,Hotel,,4dFmj
712,Raiffeisen-Bezirksbank Jennersdorf regGenmbH - Zentrale Jennersdorf,Hauptstr,11,Jennersdorf,8380,,,,http://www.raiffeisen.at/jennersdorf,info.33034@raiffeisen-burgenland.at,,0332945220,Banken u Sparkassen,332,Banken,,8GVGw
725,Vossen GmbH & Co KG,Vossenlände,1,Jennersdorf,8380,,138,27000000,http://www.vossen.com,sales@vossen.com,,03329400,Frottierwaren,1276,Frottier,,Kjxxk
733,Cafe Restaurant Fischer,Untere Hauptstr,1,Jois,7093,,,,http://www.cafefischer.at,restaurant.fischer@aon.at,,021608335,Restaurants,2947,Restaurant,,RXB9D
735,Johann Glanz,Obere Hauptstr,21,Jois,7093,,8,550000,http://www.glanz-tapezierer.at,johann.glanz@aon.at,,021608338,Raumausstattung,2900,Raumaustatter,,Q5sMB
738,Hillinger Leo GmbH,Hill,1,Jois,7093,,42,6270000,http://www.leo-hillinger.com,office@leo-hillinger.com,,021608317,Weingüter u -kellereien,4253,Wein,,SGq4M
742,Weingut Fam Niessl GmbH,Bundesstr,23,Jois,7093,,1,250000,http://www.weingut-niessl.at,wein@weingut-niessl.at,,021608234,Weine / Einzelhandel,4251,Wein,,WBQfc
750,Gasthof Schnepfenhof,Bundesstr,1,Jois,7093,,3,230000,http://www.schnepfenhof.at,office@schnepfenhof.at,,021608343,Gasthäuser u Gasthöfe,1352,Gasthaus,,f1dr6
767,Gasthof zum Hendlwirt Helmut u. Monika Wolf,Nr.,20,Kalch,8385,,2,80000,http://www.zum-hendlwirt.at,office@zum-hendlwirt.at,,033292519,Gasthäuser u Gasthöfe,1352,Gasthaus,,tMj88
772,Reinhold Woschitz,Hauptpl,3,Karl,7372,,4,1000000,http://www.holzwoschitz.at,info@holz-woschitz.at,,026172256,Holzhandel,1647,Holzmarkt,,65Xc3
783,Josef Mühl,Kapellenweg,17,Kemeten,7531,,1,70000,http://gasthofmuehl1.ga.funpic.de,gasthofmuehl@gmx.at,,033525380,Gasthäuser u Gasthöfe,1352,Gasthaus,,9jp6S
797,Salvator-Apotheke Mag pharm Christa Perc,Hauptpl,5,Kittsee,2421,,6,600000,http://apotheke.kittsee.at,apotheke@kittsee.at,,021432314,Apotheken,127,Apotheke,,QpWHT
806,Hauswirth GmbH,Industriestr,1,Kittsee,2421,,143,16200000,http://www.chocolate-austria.com,office@chocolate-austria.com,,021432400,Schokolade u Schokoladewaren,3426,Schokolade,,Wv5Zx
819,Josef Leban,Untere Hauptstr,41,Kittsee,2421,,2,100000,http://www.gasthaus-leban.at,info@gasthaus-leban.at,,021432234,Gasthäuser u Gasthöfe,1352,Gasthaus,,hvFSg
859,Paul Gregorits,Ödenburger Str,8,Klingenbach,7013,,2,270000,http://www.gasthof-gregorits.at,info@gasthof-gregorits.at,,0268748138,Gasthäuser u Gasthöfe,1352,Gasthaus,,LRcvV
866,Holzbau Rauch Ges.m.b.H.,GZO Industriegebiet,Nord 1,Siegendorf,7011,,,,http://www.holzbau-rauch.at,office@holzbau-rauch.at,,0268748148,Zimmereien,4400,Zimmerei,,T1T22
